rl	V(v2s)	I(Rl)
4.551000000000038e+01	3.318083e+00	7.290889e-02
4.561000000000038e+01	3.318084e+00	7.274903e-02
4.571000000000038e+01	3.318084e+00	7.258988e-02
4.581000000000039e+01	3.318084e+00	7.243142e-02
4.591000000000039e+01	3.318084e+00	7.227366e-02
4.601000000000039e+01	3.318084e+00	7.211658e-02
4.611000000000039e+01	3.318084e+00	7.196018e-02
4.621000000000039e+01	3.318084e+00	7.180446e-02
4.631000000000039e+01	3.318084e+00	7.164941e-02
4.641000000000039e+01	3.318084e+00	7.149503e-02
4.651000000000040e+01	3.318084e+00	7.134131e-02
4.661000000000040e+01	3.318084e+00	7.118825e-02
4.671000000000040e+01	3.318084e+00	7.103585e-02
4.681000000000040e+01	3.318084e+00	7.088409e-02
4.691000000000040e+01	3.318084e+00	7.073299e-02
4.701000000000040e+01	3.318085e+00	7.058253e-02
4.711000000000040e+01	3.318085e+00	7.043271e-02
4.721000000000041e+01	3.318085e+00	7.028352e-02
4.731000000000041e+01	3.318085e+00	7.013496e-02
4.741000000000041e+01	3.318085e+00	6.998703e-02
4.751000000000041e+01	3.318085e+00	6.983972e-02
4.761000000000041e+01	3.318085e+00	6.969303e-02
4.771000000000041e+01	3.318085e+00	6.954695e-02
4.781000000000041e+01	3.318085e+00	6.940150e-02
4.791000000000042e+01	3.318085e+00	6.925663e-02
4.801000000000042e+01	3.318085e+00	6.911238e-02
4.811000000000042e+01	3.318086e+00	6.896873e-02
4.821000000000042e+01	3.318086e+00	6.882567e-02
4.831000000000042e+01	3.318086e+00	6.868321e-02
4.841000000000042e+01	3.318086e+00	6.854133e-02
4.851000000000042e+01	3.318086e+00	6.840004e-02
4.861000000000043e+01	3.318086e+00	6.825933e-02
4.871000000000043e+01	3.318086e+00	6.811920e-02
4.881000000000043e+01	3.318086e+00	6.797964e-02
4.891000000000043e+01	3.318086e+00	6.784065e-02
4.901000000000043e+01	3.318086e+00	6.770223e-02
4.911000000000043e+01	3.318086e+00	6.756438e-02
4.921000000000043e+01	3.318087e+00	6.742708e-02
4.931000000000044e+01	3.318087e+00	6.729034e-02
4.941000000000044e+01	3.318087e+00	6.715415e-02
4.951000000000044e+01	3.318087e+00	6.701852e-02
4.961000000000044e+01	3.318087e+00	6.688343e-02
4.971000000000044e+01	3.318087e+00	6.674888e-02
4.981000000000044e+01	3.318087e+00	6.661487e-02
4.991000000000044e+01	3.318087e+00	6.648141e-02
5.000000000000000e+01	3.318087e+00	6.636174e-02
